,type,subject,session,experimentor,segment,kernel_value
516,patients,42,4,jeulin,5,-0.44213437155932267
517,patients,42,4,jeulin,6,-1.379710093296481
518,patients,43,1,jeulin,0,-0.3022181026980606
519,patients,43,1,jeulin,1,-0.224779878987395
520,patients,43,1,jeulin,2,-0.827034227108836
521,patients,43,1,jeulin,3,0.5780874621658715
522,patients,43,1,jeulin,4,-0.5333529606660893
523,patients,43,1,jeulin,5,2.3256393767338372
524,patients,43,1,jeulin,6,0.38328006263680625
525,patients,43,2,jeulin,0,-0.26532382956766515
526,patients,43,2,jeulin,1,0.8496437009471441
527,patients,43,2,jeulin,2,0.43823438165022754
528,patients,43,2,jeulin,3,-1.2386206274348563
529,patients,43,2,jeulin,4,1.6821069728093572
530,patients,43,2,jeulin,5,-0.33833016417475154
531,patients,43,2,jeulin,6,-1.2399706637548082
532,patients,43,3,jeulin,0,0.13487464236501093
533,patients,43,3,jeulin,1,1.0774027407933817
534,patients,43,3,jeulin,2,0.8727967962177662
535,patients,43,3,jeulin,3,-1.0104044882611178
536,patients,43,3,jeulin,4,0.377271539523294
537,patients,43,3,jeulin,5,0.26299699539525784
538,patients,43,3,jeulin,6,-1.9562258186289236
539,patients,43,4,jeulin,0,-0.2037882639124794
540,patients,43,4,jeulin,1,-0.22302537007254294
541,patients,43,4,jeulin,2,-0.5514396867670623
542,patients,43,4,jeulin,3,0.7314814777302053
543,patients,43,4,jeulin,4,1.1931378219745836
544,patients,43,4,jeulin,5,-0.440765243536742
545,patients,43,4,jeulin,6,2.1099116771218562
